id	type	dpos	diag
1	122	3	1
2	397	3	1
3	398	4	1
4	441	4	1
5	680	2	1
6	711	4	1
7	711	5	1
8	122	3	2
9	194	4	2
10	441	4	2
11	680	2	2
12	122	3	3
13	375	4	3
14	680	2	3
15	122	3	4
16	395	4	4
17	395	7	4
18	397	3	4
19	441	4	4
20	45	4	4
21	455	4	4
22	480	5	4
23	484	3	4
24	48	5	4
25	496	3	4
26	575	6	4
27	657	6	4
28	657	7	4
29	657	9	4
30	678	4	4
31	680	2	4
32	682	3	4
33	703	5	4
34	703	6	4
35	711	4	4
36	711	5	4
37	724	5	4
38	724	7	4
39	730	6	4
40	731	4	4
41	93	5	4
42	93	6	4
43	93	8	4
44	122	3	5
45	441	4	5
46	45	4	5
47	480	5	5
48	484	3	5
49	48	5	5
50	568	4	5
51	569	4	5
52	569	5	5
53	569	6	5
54	644	3	5
55	680	2	5
56	682	3	5
57	720	5	5
58	720	6	5
59	721	5	5
60	721	6	5
61	721	7	5
62	727	4	5
63	727	5	5
64	730	6	5
65	731	4	5
66	122	3	6
67	395	4	6
68	395	7	6
69	397	3	6
70	441	4	6
71	45	4	6
72	480	5	6
73	484	3	6
74	48	5	6
75	490	3	6
76	575	6	6
77	680	2	6
78	682	3	6
79	711	4	6
80	711	5	6
81	724	5	6
82	724	7	6
83	730	6	6
84	731	4	6
85	93	5	6
86	93	6	6
87	93	8	6
88	122	3	7
89	326	5	7
90	326	6	7
91	387	4	7
92	397	3	7
93	401	3	7
94	441	4	7
95	469	4	7
96	469	5	7
97	472	3	7
98	680	2	7
99	684	4	7
100	709	5	7
101	709	6	7
102	709	7	7
103	711	4	7
104	711	5	7
105	718	4	7
106	718	5	7
107	726	5	7
108	728	4	7
109	728	6	7
110	122	3	8
111	441	4	8
112	644	3	8
113	680	2	8
114	727	4	8
115	727	5	8
116	122	3	9
117	230	6	9
118	230	7	9
119	251	6	9
120	251	7	9
121	251	8	9
122	251	9	9
123	326	5	9
124	326	6	9
125	340	5	9
126	387	4	9
127	395	4	9
128	395	7	9
129	397	3	9
130	441	4	9
131	45	4	9
132	480	5	9
133	484	3	9
134	48	5	9
135	532	4	9
136	532	5	9
137	575	6	9
138	657	6	9
139	657	7	9
140	657	9	9
141	680	2	9
142	682	3	9
143	70	5	9
144	70	6	9
145	70	7	9
146	70	8	9
147	711	4	9
148	711	5	9
149	724	5	9
150	724	7	9
151	730	6	9
152	731	4	9
153	739	10	9
154	739	7	9
155	739	8	9
156	739	9	9
157	93	5	9
158	93	6	9
159	93	8	9
160	122	3	10
161	194	4	10
162	21	4	10
163	22	5	10
164	26	6	10
165	632	3	10
166	680	2	10
167	122	3	11
168	680	2	11
169	122	3	12
170	304	5	12
171	307	4	12
172	441	4	12
173	456	6	12
174	456	7	12
175	484	3	12
176	664	6	12
177	665	5	12
178	680	2	12
179	729	5	12
180	729	6	12
181	731	4	12
182	122	3	13
183	468	3	13
184	680	2	13
185	122	3	14
186	406	4	14
187	441	4	14
188	45	4	14
189	480	5	14
190	484	3	14
191	48	5	14
192	568	4	14
193	569	4	14
194	569	5	14
195	569	6	14
196	644	3	14
197	680	2	14
198	682	3	14
199	720	5	14
200	720	6	14
201	721	5	14
202	721	6	14
203	721	7	14
204	727	4	14
205	727	5	14
206	730	6	14
207	731	4	14
208	122	3	15
209	270	5	15
210	270	6	15
211	270	7	15
212	270	8	15
213	328	5	15
214	375	4	15
215	401	3	15
216	408	4	15
217	441	4	15
218	469	4	15
219	469	5	15
220	472	3	15
221	490	3	15
222	680	2	15
223	684	4	15
224	709	5	15
225	709	6	15
226	709	7	15
227	718	4	15
228	718	5	15
229	726	5	15
230	728	4	15
231	728	6	15
232	122	3	16
233	29	7	16
234	29	8	16
235	304	5	16
236	307	4	16
237	388	4	16
238	388	7	16
239	389	4	16
240	389	6	16
241	39	5	16
242	441	4	16
243	456	6	16
244	456	7	16
245	484	3	16
246	490	3	16
247	664	6	16
248	665	5	16
249	680	2	16
250	682	3	16
251	705	6	16
252	729	5	16
253	729	6	16
254	731	4	16
255	122	3	17
256	270	5	17
257	270	6	17
258	270	7	17
259	270	8	17
260	375	4	17
261	401	3	17
262	441	4	17
263	469	4	17
264	469	5	17
265	472	3	17
266	680	2	17
267	684	4	17
268	709	5	17
269	709	6	17
270	709	7	17
271	718	4	17
272	718	5	17
273	726	5	17
274	728	4	17
275	728	6	17
276	122	3	18
277	441	4	18
278	563	4	18
279	589	3	18
280	680	2	18
281	694	4	18
282	694	5	18
283	122	3	19
284	441	4	19
285	472	3	19
286	477	4	19
287	680	2	19
288	105	6	20
289	462	5	20
290	577	4	20
291	578	3	20
292	680	2	20
293	122	3	22
294	441	4	22
295	680	2	22
296	750	5	22
297	122	3	23
298	379	2	23
299	53	5	23
300	585	4	23
301	586	3	23
302	680	2	23
303	122	3	24
304	304	5	24
305	307	4	24
306	389	4	24
307	389	6	24
308	39	5	24
309	433	3	24
310	441	4	24
311	470	4	24
312	470	5	24
313	484	3	24
314	494	4	24
315	680	2	24
316	682	3	24
317	705	6	24
318	714	5	24
319	714	6	24
320	715	4	24
321	715	5	24
322	716	5	24
323	716	6	24
324	717	5	24
325	717	6	24
326	717	7	24
327	731	4	24
328	732	6	24
329	732	7	24
330	733	6	24
331	733	7	24
332	733	8	24
333	122	3	25
334	680	2	25
335	122	3	26
336	313	5	26
337	397	3	26
338	441	4	26
339	455	4	26
340	496	3	26
341	678	4	26
342	680	2	26
343	703	5	26
344	703	6	26
345	711	4	26
346	711	5	26
347	122	3	27
348	194	4	27
349	445	5	27
350	680	2	27
351	379	2	28
352	53	5	28
353	585	4	28
354	586	3	28
355	99	6	28
356	122	3	29
357	313	5	29
358	397	3	29
359	441	4	29
360	45	4	29
361	455	4	29
362	480	5	29
363	484	3	29
364	48	5	29
365	496	3	29
366	678	4	29
367	680	2	29
368	703	5	29
369	703	6	29
370	711	4	29
371	711	5	29
372	730	6	29
373	731	4	29
374	122	3	30
375	401	3	30
376	441	4	30
377	469	4	30
378	469	5	30
379	472	3	30
380	615	3	30
381	649	4	30
382	680	2	30
383	684	4	30
384	709	5	30
385	709	6	30
386	709	7	30
387	718	4	30
388	718	5	30
389	726	5	30
390	728	4	30
391	728	6	30
392	83	5	30
393	83	6	30
394	122	3	31
395	395	4	31
396	395	7	31
397	397	3	31
398	441	4	31
399	45	4	31
400	480	5	31
401	484	3	31
402	48	5	31
403	575	6	31
404	680	2	31
405	682	3	31
406	711	4	31
407	711	5	31
408	724	5	31
409	724	7	31
410	730	6	31
411	731	4	31
412	93	5	31
413	93	6	31
414	93	8	31
415	122	3	32
416	29	7	32
417	29	8	32
418	304	5	32
419	307	4	32
420	388	4	32
421	388	7	32
422	389	4	32
423	389	6	32
424	39	5	32
425	406	4	32
426	441	4	32
427	456	6	32
428	456	7	32
429	484	3	32
430	490	3	32
431	664	6	32
432	665	5	32
433	680	2	32
434	682	3	32
435	705	6	32
436	729	5	32
437	729	6	32
438	731	4	32
439	122	3	33
440	379	2	33
441	53	5	33
442	585	4	33
443	586	3	33
444	680	2	33
445	99	6	33
446	122	3	34
447	304	5	34
448	307	4	34
449	389	4	34
450	389	6	34
451	39	5	34
452	433	3	34
453	441	4	34
454	484	3	34
455	567	4	34
456	567	5	34
457	567	7	34
458	680	2	34
459	682	3	34
460	705	6	34
461	714	5	34
462	714	6	34
463	715	4	34
464	715	5	34
465	731	4	34
466	75	5	34
467	75	6	34
468	75	7	34
469	75	8	34
470	122	3	35
471	397	3	35
472	441	4	35
473	680	2	35
474	711	4	35
475	711	5	35
476	122	3	36
477	375	4	36
478	680	2	36
479	122	3	37
480	194	4	37
481	21	4	37
482	22	5	37
483	26	6	37
484	632	3	37
485	680	2	37
486	122	3	38
487	375	4	38
488	680	2	38
489	122	3	39
490	378	3	39
491	671	4	39
492	680	2	39
493	122	3	40
494	397	3	40
495	441	4	40
496	455	4	40
497	496	3	40
498	678	4	40
499	680	2	40
500	703	5	40
501	703	6	40
502	711	4	40
503	711	5	40
504	122	3	41
505	304	5	41
506	307	4	41
507	389	4	41
508	389	6	41
509	39	5	41
510	406	4	41
511	433	3	41
512	441	4	41
513	484	3	41
514	567	4	41
515	567	5	41
516	567	7	41
517	680	2	41
518	682	3	41
519	705	6	41
520	714	5	41
521	714	6	41
522	715	4	41
523	715	5	41
524	731	4	41
525	75	5	41
526	75	6	41
527	75	7	41
528	75	8	41
529	471	6	42
530	472	3	42
531	473	5	42
532	496	3	42
533	588	3	42
534	589	3	42
535	680	2	42
536	684	4	42
537	122	3	43
538	304	5	43
539	307	4	43
540	39	5	43
541	40	6	43
542	441	4	43
543	47	5	43
544	484	3	43
545	498	6	43
546	665	5	43
547	680	2	43
548	705	6	43
549	729	5	43
550	729	6	43
551	731	4	43
552	122	3	44
553	29	7	44
554	29	8	44
555	304	5	44
556	307	4	44
557	388	4	44
558	388	7	44
559	389	4	44
560	389	6	44
561	39	5	44
562	441	4	44
563	456	6	44
564	456	7	44
565	484	3	44
566	490	3	44
567	664	6	44
568	665	5	44
569	680	2	44
570	682	3	44
571	705	6	44
572	729	5	44
573	729	6	44
574	731	4	44
575	122	3	45
576	395	4	45
577	395	7	45
578	397	3	45
579	441	4	45
580	45	4	45
581	480	5	45
582	484	3	45
583	48	5	45
584	490	3	45
585	575	6	45
586	657	6	45
587	657	7	45
588	657	9	45
589	680	2	45
590	682	3	45
591	711	4	45
592	711	5	45
593	724	5	45
594	724	7	45
595	730	6	45
596	731	4	45
597	93	5	45
598	93	6	45
599	93	8	45
600	122	3	46
601	441	4	46
602	563	4	46
603	589	3	46
604	680	2	46
605	694	4	46
606	694	5	46
607	122	3	47
608	441	4	47
609	45	4	47
610	480	5	47
611	484	3	47
612	48	5	47
613	568	4	47
614	644	3	47
615	680	2	47
616	720	5	47
617	720	6	47
618	727	4	47
619	727	5	47
620	730	6	47
621	731	4	47
622	122	3	48
623	155	5	48
624	155	6	48
625	376	4	48
626	376	5	48
627	401	3	48
628	441	4	48
629	476	3	48
630	587	4	48
631	615	3	48
632	680	2	48
633	726	5	48
634	728	4	48
635	728	6	48
636	122	3	49
637	441	4	49
638	589	3	49
639	680	2	49
640	694	4	49
641	694	5	49
642	122	3	50
643	397	3	50
644	441	4	50
645	680	2	50
646	711	4	50
647	711	5	50
648	379	2	51
649	53	5	51
650	585	4	51
651	586	3	51
652	99	6	51
653	122	3	52
654	375	4	52
655	680	2	52
656	122	3	53
657	304	5	53
658	307	4	53
659	389	4	53
660	389	6	53
661	39	5	53
662	433	3	53
663	441	4	53
664	484	3	53
665	680	2	53
666	682	3	53
667	705	6	53
668	714	5	53
669	714	6	53
670	715	4	53
671	715	5	53
672	731	4	53
673	461	3	54
674	680	2	54
675	82	4	54
676	127	7	55
677	235	6	55
678	458	5	55
679	481	4	55
680	644	3	55
681	680	2	55
682	379	2	56
683	574	5	56
684	585	4	56
685	586	3	56
686	122	3	57
687	304	5	57
688	307	4	57
689	320	4	57
690	321	3	57
691	354	4	57
692	354	5	57
693	39	5	57
694	40	6	57
695	441	4	57
696	47	5	57
697	484	3	57
698	498	6	57
699	665	5	57
700	680	2	57
701	705	6	57
702	729	5	57
703	729	6	57
704	731	4	57
705	122	3	58
706	441	4	58
707	45	4	58
708	480	5	58
709	484	3	58
710	48	5	58
711	568	4	58
712	569	4	58
713	569	5	58
714	569	6	58
715	644	3	58
716	680	2	58
717	682	3	58
718	720	5	58
719	720	6	58
720	721	5	58
721	721	6	58
722	721	7	58
723	727	4	58
724	727	5	58
725	730	6	58
726	731	4	58
727	122	3	59
728	441	4	59
729	680	2	59
730	722	6	59
731	748	5	59
732	750	5	59
733	122	3	60
734	395	4	60
735	395	7	60
736	397	3	60
737	441	4	60
738	45	4	60
739	480	5	60
740	484	3	60
741	48	5	60
742	575	6	60
743	657	6	60
744	657	7	60
745	657	9	60
746	680	2	60
747	682	3	60
748	711	4	60
749	711	5	60
750	724	5	60
751	724	7	60
752	730	6	60
753	731	4	60
754	93	5	60
755	93	6	60
756	93	8	60
757	122	3	61
758	16	5	61
759	16	6	61
760	320	4	61
761	321	3	61
762	354	4	61
763	354	5	61
764	441	4	61
765	45	4	61
766	480	5	61
767	484	3	61
768	48	5	61
769	680	2	61
770	730	6	61
771	731	4	61
772	122	3	62
773	375	4	62
774	680	2	62
775	122	3	63
776	379	2	63
777	53	5	63
778	56	6	63
779	574	5	63
780	585	4	63
781	586	3	63
782	680	2	63
784	122	3	65
785	433	3	65
786	441	4	65
787	494	4	65
788	680	2	65
789	715	4	65
790	715	5	65
791	716	5	65
792	716	6	65
793	717	5	65
794	717	6	65
795	717	7	65
796	732	6	65
797	732	7	65
798	733	6	65
799	733	7	65
800	733	8	65
801	122	3	66
802	441	4	66
803	589	3	66
804	680	2	66
805	694	4	66
806	694	5	66
807	748	5	66
808	122	3	67
809	304	5	67
810	307	4	67
811	389	4	67
812	389	6	67
813	39	5	67
814	433	3	67
815	441	4	67
816	484	3	67
817	494	4	67
818	680	2	67
819	682	3	67
820	705	6	67
821	714	5	67
822	714	6	67
823	715	4	67
824	715	5	67
825	716	5	67
826	716	6	67
827	717	5	67
828	717	6	67
